Date, Close/Last, Volume, Open, High, Low
05/09/2019, $362.75, 5882572, $360.9, $364.2, $352.75
05/08/2019, $364.37, 6571957, $367.92, $369, $361.36
05/07/2019, $370.46, 6974924, $377, $379.91, $365.81
05/06/2019, $378.67, 5793144, $377.69, $381.35, $376
05/03/2019, $385.03, 5130301, $381.53, $385.03, $378.2717
05/02/2019, $379.06, 5398167, $378, $383.5, $374.51
05/01/2019, $378.81, 9257284, $374, $385.99, $373.1746
04/30/2019, $370.54, 3863973, $369.56, $374.5, $368.348
04/29/2019, $371.83, 3764911, $373.68, $374.5753, $369.115
04/26/2019, $374.85, 5615814, $368.35, $375.14, $366.24
04/25/2019, $368.33, 6242518, $374.49, $374.76, $365.7
04/24/2019, $374.23, 6519978, $381.07, $381.9, $373.2698
04/23/2019, $381.89, 9992022, $375.45, $384.8, $374.7069
04/22/2019, $377.34, 11959940, $359.7, $377.69, $359
04/18/2019, $360.35, 8346470, $355, $360.41, $351.64
04/17/2019, $354.74, 18009350, $365.05, $368.764, $350.6
04/16/2019, $359.46, 18416450, $355, $364.4787, $352.72
04/15/2019, $348.87, 8819081, $350.71, $352.21, $342.27
04/12/2019, $351.14, 15605580, $360.69, $361.75, $349.36
04/11/2019, $367.65, 6416155, $365, $370.12, $360.81
04/10/2019, $363.92, 4537963, $365.79, $368.8481, $362.25
04/09/2019, $364.71, 5431467, $360.54, $366.74, $359
04/08/2019, $361.41, 4648877, $365.11, $365.94, $359.93
04/05/2019, $365.49, 3898888, $369, $369.8, $364.66
04/04/2019, $367.88, 4621965, $370.07, $372.05, $362.4
04/03/2019, $369.75, 5366498, $369.26, $373.4105, $366.19
04/02/2019, $367.72, 5114466, $366.25, $368.42, $362.22
04/01/2019, $366.96, 6974045, $359, $368.33, $358.51
03/29/2019, $356.56, 4700683, $357.16, $358.25, $353.71
03/28/2019, $354.61, 4349820, $354.485, $355.94, $349.2
03/27/2019, $353.37, 7826426, $361, $362.47, $350.37
03/26/2019, $359.97, 7648249, $367.87, $368.38, $358.02
03/25/2019, $366.23, 8464512, $359, $367.0399, $357.44
03/22/2019, $361.01, 8627185, $375.95, $376.43, $360.04
03/21/2019, $377.87, 8522990, $374, $379, $370.61
03/20/2019, $375.22, 10784680, $358.91, $375.9, $357.01
03/19/2019, $358.78, 7234757, $366.4, $366.96, $356.8
03/18/2019, $363.44, 7187742, $362.47, $370.9705, $361.86
03/15/2019, $361.46, 8438090, $361.02, $364, $358.89
03/14/2019, $358.82, 5263947, $360.5, $363.84, $358.1008
03/13/2019, $361.21, 6399141, $355.81, $362.48, $352.765
03/12/2019, $356.27, 5161706, $359.37, $360.13, $353.8
03/11/2019, $358.86, 5342609, $352, $358.98, $350.03
03/08/2019, $349.6, 6891251, $345.75, $349.92, $342.47
03/07/2019, $352.6, 6144401, $360.16, $362.86, $350.5
03/06/2019, $359.61, 6194189, $353.6, $359.88, $351.7
03/05/2019, $354.3, 5919936, $351.46, $356.17, $348.25
03/04/2019, $351.04, 7478914, $359.72, $362.25, $348.0436
03/01/2019, $357.32, 5466102, $362.26, $362.87, $354.6915
02/28/2019, $358.1, 6157285, $362.47, $366.39, $357.709
02/27/2019, $362.87, 5621615, $363.5, $368.03, $359.8
02/26/2019, $364.97, 4924616, $362.98, $365.7, $359.33
02/25/2019, $363.91, 7537507, $367.01, $371.49, $363.79
02/22/2019, $363.02, 7077753, $360.34, $366.13, $360.05
02/21/2019, $356.97, 6217185, $360.03, $362.85, $353.88
02/20/2019, $359.91, 8101412, $364.85, $366.71, $356.7
02/19/2019, $361.92, 7379683, $355.8, $365, $355.32
02/15/2019, $356.87, 9218066, $358.47, $364.4, $355.5
02/14/2019, $359.07, 9280393, $351.75, $360.45, $348.33
02/13/2019, $351.77, 10529710, $357.3, $359.6, $350.28
02/12/2019, $359.97, 10388190, $348.09, $360, $346.52
02/11/2019, $345.73, 5438119, $350, $352.87, $344.81
02/08/2019, $347.57, 7550268, $338, $348, $338
02/07/2019, $344.71, 7850353, $347.9, $348.75, $339.02
02/06/2019, $352.19, 6707279, $357, $357.04, $347.19
02/05/2019, $355.81, 9030720, $353.2, $360, $352.9
02/04/2019, $351.34, 9024097, $342.6, $352, $341.3
02/01/2019, $339.85, 9822615, $337.18, $346.84, $336.5
